case_id,candidate_id,source_target_role,candidate_text,candidate_skills,years_experience,gold_canonical_role_id,gold_accepted_job_ids,gold_rejected_job_ids,review_decision,reviewer,notes
CM-197,resume_001518_exp08_3,计算机视觉算法工程师,"求职意向：计算机视觉算法工程师。
标准岗位：计算机视觉算法工程师；岗位大族：AI算法；经验年限：8年；候选人层级：高级。
岗位系统技能画像：Diffusion、Diffusion模型、NLP、多模态、AIGC、C/C++、PyTorch、Python、TensorFlow、图像图形技术、模型压缩、深度学习。
个人概述：具备8年左右计算机视觉算法工程师相关实践经验，熟悉Diffusion、Diffusion模型、NLP、多模态、AIGC、C/C++、PyTorch、Python，能够承担核心项目主导、方案评审和复杂问题攻坚。
教育背景：博士研究生，博士学位，双一流高校，模式识别与智能系统专业，英语六级。
技能栈：Diffusion、Diffusion模型、NLP、多模态、AIGC、C/C++、PyTorch、Python、TensorFlow、图像图形技术、模型压缩、深度学习、Java、JavaScript、SQL、Go、Pandas、NumPy。
工作经历：计算机视觉算法工程师方向，累计8年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业知识库 RAG 问答平台：担任主要负责人，技术栈包括Spark、Data Warehouse、TDSQL、Scikit-learn、LangChain、Python。负责语义检索、召回排序、Prompt 模板和效果评估，沉淀离线评测集并优化回答准确率。项目结果：形成可复用的技术方案和项目文档。 多模态内容理解与标签系统：担任核心成员，技术栈包括Multimodal AI、代码测试、分布式推理、架构设计、Scikit-learn、深度学习。参与图文特征抽取、模型训练和推理服务部署，支持业务侧内容审核与推荐分发。项目结果：显著改善系统稳定性和可维护性。 大模型推理性能优化：担任核心成员，技术栈包括SQL、Spark、Multi-Agent、Go、TDSQL、Java。围绕批处理、缓存、量化和 GPU 资源利用率进行调优，降低在线推理延迟。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""Diffusion"", ""Diffusion模型"", ""NLP"", ""多模态"", ""AIGC"", ""C/C++"", ""PyTorch"", ""Python"", ""TensorFlow"", ""图像图形技术"", ""模型压缩"", ""深度学习"", ""Java"", ""JavaScript"", ""SQL"", ""Go"", ""Pandas"", ""NumPy"", ""Hadoop"", ""Spark"", ""Tableau"", ""Power BI"", ""FineBI"", ""QClaw-AI""]",8,,,,,,
CM-198,resume_001207_exp10_4,数据分析师,"求职意向：数据分析师。
标准岗位：数据分析师；岗位大族：数据；经验年限：10年；候选人层级：专家。
岗位系统技能画像：数据工程、机器学习、Python、因果推断、算法工程、Spark、Hive、Hadoop、Machine Learning、Transformer、模型训练、PyTorch。
个人概述：具备10年左右数据分析师相关实践经验，熟悉数据工程、机器学习、Python、因果推断、算法工程、Spark、Hive、Hadoop，能够承担技术规划、架构演进、团队赋能和关键项目决策。
教育背景：本科，学士学位，211高校，应用数学专业，英语四级。
技能栈：数据工程、机器学习、Python、因果推断、算法工程、Spark、Hive、Hadoop、Machine Learning、Transformer、模型训练、PyTorch、SQL、MySQL、MongoDB、Pandas、NumPy、TensorFlow。
工作经历：数据分析师方向，累计10年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：业务经营分析看板：担任主要负责人，技术栈包括IP、Python、经营分析、Flux、数据可视化、TDSQL。建设核心指标体系，使用 SQL 和 BI 工具输出日活、留存、转化和收入分析。项目结果：显著改善系统稳定性和可维护性。 用户增长归因分析：担任核心成员，技术栈包括IP、Power BI、数据可视化、TensorFlow、TDSQL、Rust。围绕渠道、活动和用户分层构建分析模型，支持运营策略迭代。项目结果：将核心流程耗时降低约 20%。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""数据工程"", ""机器学习"", ""Python"", ""因果推断"", ""算法工程"", ""Spark"", ""Hive"", ""Hadoop"", ""Machine Learning"", ""Transformer"", ""模型训练"", ""PyTorch"", ""SQL"", ""MySQL"", ""MongoDB"", ""Pandas"", ""NumPy"", ""TensorFlow"", ""Tableau"", ""Power BI"", ""FineBI"", ""数据分析"", ""数据仓库"", ""Kafka""]",10,,,,,,
CM-199,resume_004062_exp05_3,数据工程师,"求职意向：数据工程师。
标准岗位：数据工程师；岗位大族：数据；经验年限：5年；候选人层级：中级。
岗位系统技能画像：Flink、Machine Learning、NLP、Spark、Hadoop、Python、PyTorch、Hive、搜索算法、Scala、游戏与图形开发、ClickHouse。
个人概述：具备5年左右数据工程师相关实践经验，熟悉Flink、Machine Learning、NLP、Spark、Hadoop、Python、PyTorch、Hive，能够承担独立模块交付、跨团队协作和质量改进。
教育背景：硕士研究生，硕士学位，985高校，信息管理与信息系统专业，英语六级。
技能栈：Flink、Machine Learning、NLP、Spark、Hadoop、Python、PyTorch、Hive、搜索算法、Scala、游戏与图形开发、ClickHouse、Java、JavaScript、SQL、Go、MySQL、PostgreSQL。
工作经历：数据工程师方向，累计5年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：业务经营分析看板：担任主要负责人，技术栈包括MySQL、数据湖、PostgreSQL、用户增长、MongoDB、SQL。建设核心指标体系，使用 SQL 和 BI 工具输出日活、留存、转化和收入分析。项目结果：形成可复用的技术方案和项目文档。 用户增长归因分析：担任核心成员，技术栈包括Go、Rust、Milvus、Power BI、IP、Flink。围绕渠道、活动和用户分层构建分析模型，支持运营策略迭代。项目结果：形成可复用的技术方案和项目文档。 异常波动监控与复盘：担任核心成员，技术栈包括Pandas、数据湖、Elasticsearch、数据可视化、数据分析、MySQL。搭建自动化监控报表，定位指标波动原因并输出数据结论。项目结果：将核心流程耗时降低约 20%。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""Flink"", ""Machine Learning"", ""NLP"", ""Spark"", ""Hadoop"", ""Python"", ""PyTorch"", ""Hive"", ""搜索算法"", ""Scala"", ""游戏与图形开发"", ""ClickHouse"", ""Java"", ""JavaScript"", ""SQL"", ""Go"", ""MySQL"", ""PostgreSQL"", ""MongoDB"", ""Redis"", ""Pandas"", ""NumPy"", ""TensorFlow"", ""Tableau""]",5,,,,,,
CM-200,resume_000393_exp03_3,数据治理工程师,"求职意向：数据治理工程师。
标准岗位：数据治理工程师；岗位大族：数据；经验年限：3年；候选人层级：中级。
岗位系统技能画像：Hive、Python、Spark、数据工程、Java、SQL、Go、MySQL、MongoDB、Pandas、NumPy、TensorFlow。
个人概述：具备3年左右数据治理工程师相关实践经验，熟悉Hive、Python、Spark、数据工程、Java、SQL、Go、MySQL，能够承担独立模块交付、跨团队协作和质量改进。
教育背景：硕士研究生，硕士学位，985高校，信息管理与信息系统专业，英语六级。
技能栈：Hive、Python、Spark、数据工程、Java、SQL、Go、MySQL、MongoDB、Pandas、NumPy、TensorFlow、PyTorch、Hadoop、Tableau、Power BI、FineBI、数据分析。
工作经历：数据治理工程师方向，累计3年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：业务经营分析看板：担任主要负责人，技术栈包括自然语言处理、品牌、Flink、经营分析、Elasticsearch、TensorFlow。建设核心指标体系，使用 SQL 和 BI 工具输出日活、留存、转化和收入分析。项目结果：提升问题定位和交付效率。 用户增长归因分析：担任核心成员，技术栈包括Oracle、Pandas、Elasticsearch、MongoDB、经营分析、Go。围绕渠道、活动和用户分层构建分析模型，支持运营策略迭代。项目结果：形成可复用的技术方案和项目文档。 异常波动监控与复盘：担任核心成员，技术栈包括Oracle、Tableau、TypeScript、品牌、经营分析、NumPy。搭建自动化监控报表，定位指标波动原因并输出数据结论。项目结果：支撑多业务线稳定复用。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""Hive"", ""Python"", ""Spark"", ""数据工程"", ""Java"", ""SQL"", ""Go"", ""MySQL"", ""MongoDB"", ""Pandas"", ""NumPy"", ""TensorFlow"", ""PyTorch"", ""Hadoop"", ""Tableau"", ""Power BI"", ""FineBI"", ""数据分析"", ""Flink"", ""数据湖"", ""Deep Learning"", ""Machine Learning"", ""数据挖掘"", ""自然语言处理""]",3,,,,,,
CM-201,resume_003578_exp03_3,数据挖掘算法工程师,"求职意向：数据挖掘算法工程师。
标准岗位：数据挖掘算法工程师；岗位大族：算法；经验年限：3年；候选人层级：中级。
岗位系统技能画像：Java、TensorFlow、算法工程、C/C++、Hadoop、Hive、Machine Learning、NLP、PyTorch、Python、数据工程、机器学习。
个人概述：具备3年左右数据挖掘算法工程师相关实践经验，熟悉Java、TensorFlow、算法工程、C/C++、Hadoop、Hive、Machine Learning、NLP，能够承担独立模块交付、跨团队协作和质量改进。
教育背景：本科，学士学位，双一流高校，应用数学专业，英语六级。
技能栈：Java、TensorFlow、算法工程、C/C++、Hadoop、Hive、Machine Learning、NLP、PyTorch、Python、数据工程、机器学习、SQL、MySQL、PostgreSQL、MongoDB、Redis、Pandas。
工作经历：数据挖掘算法工程师方向，累计3年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：业务经营分析看板：担任主要负责人，技术栈包括LLM/NLP、数据可视化、Milvus、TDSQL、Pandas、Oracle。建设核心指标体系，使用 SQL 和 BI 工具输出日活、留存、转化和收入分析。项目结果：支撑多业务线稳定复用。 用户增长归因分析：担任核心成员，技术栈包括用户增长、用户研究、MySQL、TDSQL、MongoDB、JavaScript。围绕渠道、活动和用户分层构建分析模型，支持运营策略迭代。项目结果：显著改善系统稳定性和可维护性。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""Java"", ""TensorFlow"", ""算法工程"", ""C/C++"", ""Hadoop"", ""Hive"", ""Machine Learning"", ""NLP"", ""PyTorch"", ""Python"", ""数据工程"", ""机器学习"", ""SQL"", ""MySQL"", ""PostgreSQL"", ""MongoDB"", ""Redis"", ""Pandas"", ""NumPy"", ""Tableau"", ""Power BI"", ""FineBI"", ""数据分析"", ""TDSQL""]",3,,,,,,
CM-202,resume_000754_exp00_0,数据平台工程师,"求职意向：数据平台工程师。
标准岗位：数据平台工程师；岗位大族：数据；经验年限：0年；候选人层级：校招/无全职经验。
岗位系统技能画像：Kafka、Python、数据工程、Java、Flink、Hadoop、向量数据库、Spark、ClickHouse、HBase、Linux、NLP。
个人概述：具备0年左右数据平台工程师相关实践经验，熟悉Kafka、Python、数据工程、Java、Flink、Hadoop、向量数据库、Spark，能够承担基础实践、原型验证和学习型任务。
教育背景：本科，学士学位，211高校，信息工程专业，英语四级。
技能栈：Kafka、Python、数据工程、Java、Flink、Hadoop、向量数据库、Spark、ClickHouse、HBase、Linux、NLP、SQL、MySQL、MongoDB、Pandas、NumPy、ETL。
工作经历：数据平台工程师方向，累计0年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：实时数仓与数据治理平台：担任主要负责人，技术栈包括Pandas、SQL、推荐系统、Flink、TypeScript、JavaScript。负责采集链路、ETL 任务、数据质量校验和主题域建模，提升数据可用性。项目结果：支撑多业务线稳定复用。 日志数据实时处理链路：担任核心成员，技术栈包括JavaScript、SQL、PostgreSQL、Python、高并发、数据仓库。基于 Kafka/Flink/Spark 完成实时计算任务，支持业务监控和画像分析。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""Kafka"", ""Python"", ""数据工程"", ""Java"", ""Flink"", ""Hadoop"", ""向量数据库"", ""Spark"", ""ClickHouse"", ""HBase"", ""Linux"", ""NLP"", ""SQL"", ""MySQL"", ""MongoDB"", ""Pandas"", ""NumPy"", ""ETL"", ""数据湖"", ""Elasticsearch"", ""Milvus"", ""PostgreSQL"", ""Docker"", ""云计算""]",0,,,,,,
CM-203,resume_003287_exp08_3,数据仓库工程师,"求职意向：数据仓库工程师。
标准岗位：数据仓库工程师；岗位大族：数据；经验年限：8年；候选人层级：高级。
岗位系统技能画像：Hadoop、数据工程、Hive、Kafka、Spark、Flink、Java、Python、C/C++、Docker、HBase、操作系统。
个人概述：具备8年左右数据仓库工程师相关实践经验，熟悉Hadoop、数据工程、Hive、Kafka、Spark、Flink、Java、Python，能够承担核心项目主导、方案评审和复杂问题攻坚。
教育背景：本科，学士学位，双一流高校，应用数学专业，无。
技能栈：Hadoop、数据工程、Hive、Kafka、Spark、Flink、Java、Python、C/C++、Docker、HBase、操作系统、JavaScript、SQL、Go、MySQL、MongoDB、Pandas。
工作经历：数据仓库工程师方向，累计8年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：业务经营分析看板：担任主要负责人，技术栈包括Machine Learning、MySQL、Pandas、PostgreSQL、Flink、Rust。建设核心指标体系，使用 SQL 和 BI 工具输出日活、留存、转化和收入分析。项目结果：形成可复用的技术方案和项目文档。 用户增长归因分析：担任核心成员，技术栈包括TypeScript、数据可视化、数据分析、Milvus、Model Context Protocol、Java。围绕渠道、活动和用户分层构建分析模型，支持运营策略迭代。项目结果：显著改善系统稳定性和可维护性。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""Hadoop"", ""数据工程"", ""Hive"", ""Kafka"", ""Spark"", ""Flink"", ""Java"", ""Python"", ""C/C++"", ""Docker"", ""HBase"", ""操作系统"", ""JavaScript"", ""SQL"", ""Go"", ""MySQL"", ""MongoDB"", ""Pandas"", ""NumPy"", ""TensorFlow"", ""PyTorch"", ""Tableau"", ""Power BI"", ""FineBI""]",8,,,,,,
CM-204,resume_005268_exp00_0,数据库工程师,"求职意向：数据库工程师。
标准岗位：数据库工程师；岗位大族：基础设施；经验年限：0年；候选人层级：校招/无全职经验。
岗位系统技能画像：Go、MySQL、分布式系统、PostgreSQL、Python、数据工程、C/C++、Linux、Java、代价模型、异常检测、JavaScript。
个人概述：具备0年左右数据库工程师相关实践经验，熟悉Go、MySQL、分布式系统、PostgreSQL、Python、数据工程、C/C++、Linux，能够承担基础实践、原型验证和学习型任务。
教育背景：专科，高职院校，软件工程专业，英语四级。
技能栈：Go、MySQL、分布式系统、PostgreSQL、Python、数据工程、C/C++、Linux、Java、代价模型、异常检测、JavaScript、SQL、AWS、Azure、Docker、Kubernetes、Ansible。
工作经历：数据库工程师方向，累计0年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：统一监控告警平台：担任主要负责人，技术栈包括Go、MySQL、Vector Database、Shell、风控、Milvus。接入主机、容器、数据库和业务指标，设计告警规则并推进故障闭环。项目结果：提升问题定位和交付效率。 自动化发布与巡检系统：担任核心成员，技术栈包括DevOps、云计算、信息安全、Prometheus、Linux、JavaScript。编写脚本和流水线任务，减少人工发布风险并提升巡检效率。项目结果：将核心流程耗时降低约 20%。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""Go"", ""MySQL"", ""分布式系统"", ""PostgreSQL"", ""Python"", ""数据工程"", ""C/C++"", ""Linux"", ""Java"", ""代价模型"", ""异常检测"", ""JavaScript"", ""SQL"", ""AWS"", ""Azure"", ""Docker"", ""Kubernetes"", ""Ansible"", ""Terraform"", ""云计算"", ""DevOps"", ""CI/CD"", ""自动化测试"", ""性能测试""]",0,,,,,,
CM-205,resume_003818_exp03_1,DevOps工程师,"求职意向：DevOps工程师。
标准岗位：DevOps工程师；岗位大族：基础设施；经验年限：3年；候选人层级：中级。
岗位系统技能画像：模型服务化、模型部署、AI基础设施、模型工程、GPU内存优化、模型推理、DeepSpeed、Triton、推理优化、CUDA、MCP、Megatron。
个人概述：具备3年左右DevOps工程师相关实践经验，熟悉模型服务化、模型部署、AI基础设施、模型工程、GPU内存优化、模型推理、DeepSpeed、Triton，能够承担独立模块交付、跨团队协作和质量改进。
教育背景：本科，学士学位，普通高校，信息安全专业，英语四级。
技能栈：模型服务化、模型部署、AI基础设施、模型工程、GPU内存优化、模型推理、DeepSpeed、Triton、推理优化、CUDA、MCP、Megatron、Python、AWS、Azure、Docker、Kubernetes、Linux。
工作经历：DevOps工程师方向，累计3年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：统一监控告警平台：担任主要负责人，技术栈包括CI/CD、JavaScript、代码测试、性能测试、MySQL、自动化运维。接入主机、容器、数据库和业务指标，设计告警规则并推进故障闭环。项目结果：将核心流程耗时降低约 20%。 自动化发布与巡检系统：担任核心成员，技术栈包括Docker、自动化运维、MySQL、AWS、系统设计、Ansible。编写脚本和流水线任务，减少人工发布风险并提升巡检效率。项目结果：显著改善系统稳定性和可维护性。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""模型服务化"", ""模型部署"", ""AI基础设施"", ""模型工程"", ""GPU内存优化"", ""模型推理"", ""DeepSpeed"", ""Triton"", ""推理优化"", ""CUDA"", ""MCP"", ""Megatron"", ""Python"", ""AWS"", ""Azure"", ""Docker"", ""Kubernetes"", ""Linux"", ""Ansible"", ""Terraform"", ""CI/CD"", ""性能测试"", ""安全测试"", ""自动化测试""]",3,,,,,,
CM-206,resume_std_005609_exp08_4,驱动开发工程师,"求职意向：驱动开发工程师。
标准岗位：驱动开发工程师；岗位大族：软件研发；经验年限：8年；候选人层级：高级。
岗位系统技能画像：Linux驱动、Kernel、C/C++、设备树、PCIe、USB、I2C、SPI、ARM、硬件调试、中断处理、DMA。
个人概述：具备8年左右驱动开发工程师相关实践经验，熟悉Linux驱动、Kernel、C/C++、设备树、PCIe、USB、I2C、SPI，能够承担核心项目主导、方案评审和复杂问题攻坚。
教育背景：本科，学士学位，211高校，计算机科学与技术专业。
技能栈：Linux驱动、Kernel、C/C++、设备树、PCIe、USB、I2C、SPI、ARM、硬件调试、中断处理、DMA、Linux、Machine Learning、PLC编程、系统开发、Android、机器学习。
工作经历：驱动开发工程师方向，累计8年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：驱动开发工程师核心能力建设：担任主要负责人，技术栈包括Linux驱动、Kernel、C/C++、设备树、PCIe、USB、I2C、SPI。面向驱动开发工程师岗位场景，围绕Linux驱动、Kernel、C/C++构建从方案设计、实现验证到质量复盘的闭环能力。项目结果：形成可复用的技术方案和项目文档。 驱动开发工程师质量提升项目：担任核心成员，技术栈包括USB、I2C、SPI、ARM、硬件调试、中断处理、DMA、Linux。基于USB、I2C等技术完成方案验证、问题定位和迭代优化。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、质量意识和持续学习能力，能够根据业务目标选择合适的技术方案。","[""Linux驱动"", ""Kernel"", ""C/C++"", ""设备树"", ""PCIe"", ""USB"", ""I2C"", ""SPI"", ""ARM"", ""硬件调试"", ""中断处理"", ""DMA"", ""Linux"", ""Machine Learning"", ""PLC编程"", ""系统开发"", ""Android"", ""机器学习""]",8,,,,,,
CM-207,resume_std_005569_exp08_3,嵌入式软件工程师,"求职意向：嵌入式软件工程师。
标准岗位：嵌入式软件工程师；岗位大族：软件研发；经验年限：8年；候选人层级：高级。
岗位系统技能画像：C/C++、嵌入式系统、Linux、RTOS、ARM、MCU、驱动开发、串口、CAN、I2C、SPI、硬件调试。
个人概述：具备8年左右嵌入式软件工程师相关实践经验，熟悉C/C++、嵌入式系统、Linux、RTOS、ARM、MCU、驱动开发、串口，能够承担核心项目主导、方案评审和复杂问题攻坚。
教育背景：硕士研究生，硕士学位，双一流高校，电子信息工程专业。
技能栈：C/C++、嵌入式系统、Linux、RTOS、ARM、MCU、驱动开发、串口、CAN、I2C、SPI、硬件调试、TCP/IP、光学技术、内存管理、系统开发、Python、Shell脚本。
工作经历：嵌入式软件工程师方向，累计8年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：嵌入式软件工程师质量提升项目：担任核心成员，技术栈包括C/C++、嵌入式系统、Linux、RTOS、ARM、MCU、驱动开发、串口。面向嵌入式软件工程师岗位场景，围绕C/C++、嵌入式系统、Linux构建从方案设计、实现验证到质量复盘的闭环能力。项目结果：将关键流程耗时降低约 20%。 软件研发流程优化平台：担任核心成员，技术栈包括MCU、驱动开发、串口、CAN、I2C、SPI、硬件调试、TCP/IP。基于MCU、驱动开发等技术完成方案验证、问题定位和迭代优化。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、质量意识和持续学习能力，能够根据业务目标选择合适的技术方案。","[""C/C++"", ""嵌入式系统"", ""Linux"", ""RTOS"", ""ARM"", ""MCU"", ""驱动开发"", ""串口"", ""CAN"", ""I2C"", ""SPI"", ""硬件调试"", ""TCP/IP"", ""光学技术"", ""内存管理"", ""系统开发"", ""Python"", ""Shell脚本""]",8,,,,,,
CM-208,resume_004183_exp00_0,前端开发工程师,"求职意向：前端开发工程师。
标准岗位：前端开发工程师；岗位大族：软件研发；经验年限：0年；候选人层级：校招/无全职经验。
岗位系统技能画像：JavaScript、React、性能优化、Node.js、TypeScript、Vue.js、HTML、软件开发、CSS、Webpack、Python、跨平台开发。
个人概述：具备0年左右前端开发工程师相关实践经验，熟悉JavaScript、React、性能优化、Node.js、TypeScript、Vue.js、HTML、软件开发，能够承担基础实践、原型验证和学习型任务。
教育背景：本科，学士学位，普通高校，数字媒体技术专业，英语四级。
技能栈：JavaScript、React、性能优化、Node.js、TypeScript、Vue.js、HTML、软件开发、CSS、Webpack、Python、跨平台开发、SQL、Vue、Redux、Vuex、高并发、代码测试。
工作经历：前端开发工程师方向，累计0年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业级运营管理后台：担任主要负责人，技术栈包括代码测试、Python、Vue、Vuex、JavaScript、市场营销。负责组件库封装、状态管理、权限路由和复杂表单交互。项目结果：将核心流程耗时降低约 20%。 数据可视化大屏：担任核心成员，技术栈包括前端工程化、React、JavaScript、品牌、Power BI、Tableau。实现图表组件、实时数据刷新和性能优化，支持业务运营分析。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""JavaScript"", ""React"", ""性能优化"", ""Node.js"", ""TypeScript"", ""Vue.js"", ""HTML"", ""软件开发"", ""CSS"", ""Webpack"", ""Python"", ""跨平台开发"", ""SQL"", ""Vue"", ""Redux"", ""Vuex"", ""高并发"", ""代码测试"", ""架构设计"", ""品牌"", ""用户增长"", ""市场营销"", ""前端工程化"", ""React Native""]",0,,,,,,
CM-209,resume_000932_exp03_3,全栈开发工程师,"求职意向：全栈开发工程师。
标准岗位：全栈开发工程师；岗位大族：软件研发；经验年限：3年；候选人层级：中级。
岗位系统技能画像：JavaScript、Go、Java、Vue.js、MySQL、React、TypeScript、Python、Redis、软件开发、Ai coding、LangChain。
个人概述：具备3年左右全栈开发工程师相关实践经验，熟悉JavaScript、Go、Java、Vue.js、MySQL、React、TypeScript、Python，能够承担独立模块交付、跨团队协作和质量改进。
教育背景：本科，学士学位，普通高校，数字媒体技术专业，英语六级。
技能栈：JavaScript、Go、Java、Vue.js、MySQL、React、TypeScript、Python、Redis、软件开发、Ai coding、LangChain、HTML、CSS、Vue、代码生成、架构设计、分布式系统。
工作经历：全栈开发工程师方向，累计3年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业级运营管理后台：担任主要负责人，技术栈包括架构设计、市场营销、CSS、TypeScript、React、运营。负责组件库封装、状态管理、权限路由和复杂表单交互。项目结果：支撑多业务线稳定复用。 数据可视化大屏：担任核心成员，技术栈包括用户体验、CSS、React、Python、市场营销、JavaScript。实现图表组件、实时数据刷新和性能优化，支持业务运营分析。项目结果：显著改善系统稳定性和可维护性。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""JavaScript"", ""Go"", ""Java"", ""Vue.js"", ""MySQL"", ""React"", ""TypeScript"", ""Python"", ""Redis"", ""软件开发"", ""Ai coding"", ""LangChain"", ""HTML"", ""CSS"", ""Vue"", ""代码生成"", ""架构设计"", ""分布式系统"", ""运营"", ""市场营销"", ""用户增长"", ""SQL"", ""前端工程化"", ""AI应用开发""]",3,,,,,,
CM-210,resume_std_005700_exp01_0,图形图像工程师,"求职意向：图形图像工程师。
标准岗位：图形图像工程师；岗位大族：多媒体；经验年限：1年；候选人层级：初级。
岗位系统技能画像：C++、OpenGL、Vulkan、DirectX、图形渲染、Shader、图像处理、GPU、CUDA、计算机视觉、Unreal、Unity。
个人概述：具备1年左右图形图像工程师相关实践经验，熟悉C++、OpenGL、Vulkan、DirectX、图形渲染、Shader、图像处理、GPU，能够承担模块开发、测试验证和问题跟进。
教育背景：硕士研究生，硕士学位，211高校，计算机科学与技术专业。
技能栈：C++、OpenGL、Vulkan、DirectX、图形渲染、Shader、图像处理、GPU、CUDA、计算机视觉、Unreal、Unity、Java、高性能计算、C/C++、Unreal Engine、图像图形技术、游戏与图形开发。
工作经历：图形图像工程师方向，累计1年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：图形渲染性能优化：担任核心成员，技术栈包括C++、OpenGL、Vulkan、DirectX、图形渲染、Shader、图像处理、GPU。面向图形图像工程师岗位场景，围绕C++、OpenGL、Vulkan构建从方案设计、实现验证到质量复盘的闭环能力。项目结果：将关键流程耗时降低约 20%。 低延迟音视频处理系统：担任核心成员，技术栈包括Shader、图像处理、GPU、CUDA、计算机视觉、Unreal、Unity、Java。基于Shader、图像处理等技术完成方案验证、问题定位和迭代优化。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、质量意识和持续学习能力，能够根据业务目标选择合适的技术方案。","[""C++"", ""OpenGL"", ""Vulkan"", ""DirectX"", ""图形渲染"", ""Shader"", ""图像处理"", ""GPU"", ""CUDA"", ""计算机视觉"", ""Unreal"", ""Unity"", ""Java"", ""高性能计算"", ""C/C++"", ""Unreal Engine"", ""图像图形技术"", ""游戏与图形开发""]",1,,,,,,
